,gene
1230,ELAVL3
1231,ELAVL4
1232,ELF1
1233,ELF2
1234,ELF3
1235,ELF4
1236,ELF5
1237,ELK1
1238,ELK3
1239,ELK4
1240,ELN
1241,EML1
1242,EMD
1243,MARK2
1244,EMP1
1245,EMP2
1246,EMP3
1247,EMX1
1248,CTTN
1249,EMX2
1250,EN1
1251,EN2
1252,ENDOG
1253,ENG
1254,ENO1
1255,ENO2
1256,ENO3
1257,ENPEP
1258,ENSA
1259,SLC29A1
1260,EP300
1261,EPAS1
1262,EPB41
1263,EPB41L1
1264,EPB41L2
1265,EPB42
1266,STOM
1267,EPHA1
1268,EPHA3
1269,EPHA4
1270,EPHA5
1271,EPHA7
1272,EPHB1
1273,EPHB2
1274,EPHB3
1275,EPHB4
1276,EPHB6
1277,EPHX1
1278,EPHX2
1279,STX2
1280,CLN8
1281,EPO
1282,EPOR
1283,EPRS
1284,EPS8
1285,EPS15
1286,NR2F6
1287,ERBB2
1288,ERBB3
1289,ERBB4
1290,ERCC1
1291,ERCC2
1292,EREG
1293,EYA4
1294,ERCC3
1295,ERCC4
1296,ERF
1297,ERG
1298,ERH
1299,ERN1
1300,FBL
1301,ESD
1302,ESR1
1303,ESR2
1304,ESRRA
1305,ESRRG
1306,ETF1
1307,ETFA
1308,ETFB
1309,ETFDH
1310,ETS1
1311,ETS2
1312,ETV1
1313,ETV2
1314,ETV3
1315,ETV4
1316,ETV5
1317,ETV6
1318,EVC
1319,MECOM
1320,EVI2A
1321,EVI2B
1322,EVPL
1323,EVX1
1324,EWSR1
1325,EXT1
1326,EXT2
1327,EXTL1
1328,EXTL2
1329,EXTL3
1330,EYA1
1331,EYA2
1332,EYA3
1333,EZH1
1334,EZH2
1335,F2
1336,F2R
1337,F2RL1
1338,F2RL2
1339,F3
1340,F5
1341,F7
1342,F8
1343,F9
1344,F10
1345,F11
1346,F12
1347,F13A1
1348,F13B
1349,FAAH
1350,FABP4
1351,FABP1
1352,FABP2
1353,FABP3
1354,FABP6
1355,FABP7
1356,FANCA
1357,FANCC
1358,FANCE
1359,ACSL1
1360,ACSL3
1361,FAH
1362,PTK2B
1363,BPTF
1364,FANCF
1365,FANCG
1366,FAP
1367,FBLN1
1368,FARSA
1369,FASN
1370,FAT1
1371,FAT2
1372,FAU
1373,FBLN2
1374,FBN1
1375,FBN2
1376,EFEMP1
1377,FBP1
1378,FCAR
1379,FCER1A
1380,MS4A2
1381,FCER1G
1382,FCER2
1383,FCGR3B
1384,FCGRT
1385,FKTN
1386,FCN1
1387,FCN2
1388,FDFT1
1389,FDPS
1390,FDX1
1391,FDXR
1392,FECH
1393,FEN1
1394,GPC4
1395,FER
1396,FES
1397,FGA
1398,FGB
1399,FGD1
1400,FGF1
1401,FGF2
1402,FGF3
1403,FGF5
1404,FGF6
1405,FGF7
1406,FGF8
1407,FGF9
1408,FGF12
1409,FGF13
1410,FGF14
1411,FGFR1
1412,FGFR3
1413,GPC5
1414,FGFR2
1415,FGFR4
1416,FGG
1417,FGL1
1418,FGR
1419,FH
1420,FHIT
1421,FHL1
1422,FHL2
1423,FHL3
1424,FKBP1A
1425,FKBP1B
1426,FKBP2
1427,FKBP3
1428,FKBP4
1429,FKBP5
1430,FOXG1
1431,FOXF1
1432,FOXF2
1433,FOXC1
1434,FOXD1
1435,FOXI1
1436,FOXL1
1437,FOXE3
1438,FOXJ1
1439,FOXC2
1440,FOXE1
1441,FOXM1
1442,FOXD2
1443,FOXO1
1444,FOXO3
1445,FLG
1446,FLI1
1447,FLII
1448,MLANA
1449,FLNA
1450,FLNB
1451,FLNC
1452,FLOT2
1453,FLT1
1454,FLT3
1455,FLT3LG
1456,FLT4
1457,FMO1
1458,FMO2
1459,FMO3
1460,FMO4
1461,FMO5
1462,FMOD
1463,FMR1
1464,AFF2
1465,FN1
1466,FNTA
1467,FOLR1
1468,FOLR2
1469,FOLR3
1470,FOS
1471,FOSB
1472,FOSL2
1473,FPGS
1474,FPR1
1475,FPR2
1476,FPR3
1477,FXN
1478,FRK
1479,MTOR
1480,FRZB
1481,FSHB
1482,CENPI
1483,FSHR
1484,NR5A2
1485,FTH1
1486,FTL
1487,ADAM2
1488,NR5A1
1489,FUCA1
1490,GAST
1491,FUS
1492,FUT1
1493,FUT2
1494,FUT3
1495,FUT4
1496,FUT6
1497,FUT7
1498,FUT8
1499,KDSR
1500,FYB
1501,FYN
1502,FZD2
1503,IFI6
1504,G6PC
1505,G6PD
1506,SLC37A4
1507,GAA
1508,GAB1
1509,GABBR1
1510,GABPA
1511,GABPB1
1512,GABRA1
1513,GABRA2
1514,GABRA3
1515,GABRA4
1516,GABRA5
1517,GABRA6
1518,GABRB1
1519,GABRB2
1520,GABRB3
1521,GABRD
1522,GABRE
1523,GABRG2
1524,GABRG3
1525,GABRP
1526,GABRR1
1527,GABRR2
1528,GAD1
1529,GAD2
1530,GAK
1531,GALC
1532,GALE
1533,B4GALNT1
1534,GALK1
1535,GALK2
1536,GALR1
1537,GALNS
1538,GALNT1
1539,GALNT2
1540,GALNT3
1541,GALT
1542,GAMT
1543,GAP43
1544,GAPDH
1545,LRRC32
1546,GARS
1547,GART
1548,GAS1
1549,GAS2
1550,GAS6
1551,GAS8
1552,GATA1
1553,GATA2
1554,GATA3
1555,GATA4
1556,GATA6
1557,GATM
1558,GBAS
1559,GBE1
1560,GBP1
1561,GBP2
1562,GBX2
1563,GC
1564,GCDH
1565,GCG
1566,GCGR
1567,GCH1
1568,GCHFR
1569,GCK
1570,GCKR
1571,BLOC1S1
1572,KAT2A
1573,NR6A1
1574,GCNT1
1575,GCNT2
1576,GDF2
1577,MSTN
1578,GDF9
1579,GDF10
1580,GDI1
1581,GDI2
1582,GDNF
1583,GEM
1584,GFAP
1585,GFER
1586,GFI1
1587,GFPT1
1588,GFRA1
1589,GFRA2
1590,GFRA3
1591,GGCX
1592,B4GALT1
1593,GH1
1594,GH2
1595,GHR
1596,GHRH
1597,GHRHR
1598,GIF
1599,GIP
1600,GIPR
1601,GJA1
1602,GJA3
1603,GJA4
1604,GJA5
1605,GJA8
1606,GJB1
1607,GJB3
1608,GJB5
1609,GK
1610,GK2
1611,GLA
1612,GPC3
1613,GLB1
1614,GCLC
1615,GCLM
1616,GLDC
1617,GLE1
1618,GLG1
1619,GLI1
1620,GLI2
1621,GLI3
1622,GLO1
1623,GLP1R
1624,GLRA1
1625,GLRA2
1626,GLRB
1627,GLS
1628,GLRX
1629,GLUD1
1630,GLUD2
1631,GLUL
1632,GM2A
1633,GMDS
1634,GMFB
1635,GMPR
1636,GNA11
1637,GNA12
1638,GNA15
1639,GNAI1
1640,GNAI2
1641,GNAI3
1642,GNAL
1643,GNAO1
1644,GNAQ
1645,GNAS
1646,GNAT1
1647,GNAT2
1648,GNAZ
1649,GNB1
1650,GNB2
1651,GNB3
1652,GNG3
1653,GNG4
1654,GNG5
1655,GNG7
1656,GNG11
1657,GNGT1
1658,GNL1
1659,GNRH1
1660,GNRH2
1661,GNRHR
1662,GNS
1663,GOLGA1
1664,GOLGA2
1665,GOLGA3
1666,GOLGA4
1667,GOLGB1
1668,GOT1
1669,GOT2
1670,SFN
1671,GP1BA
1672,GP2
1673,GP5
1674,GP9
1675,GPC1
1676,GPD1
1677,GPD2
1678,GPI
1679,GPLD1
1680,GPM6A
1681,GPM6B
1682,GPR1
1683,CCR10
1684,GPR3
1685,GPR4
1686,XCR1
1687,GPR6
1688,NPBWR2
1689,CXCR3
1690,GPR12
1691,GPR15
1692,GPR17
1693,GPR18
1694,GPR19
1695,GPR20
1696,GPR22
1697,LPAR4
1698,MCHR1
1699,GPR25
1700,GPR27
1701,GPR35
1702,GPR37
1703,GPR39
1704,FFAR2
1705,GRK4
1706,GRK5
1707,GRK6
1708,MKNK2
1709,GPS1
1710,GPS2
1711,GPT
1712,GPX2
1713,GPX4
1714,GPX5
1715,GPX7
1716,GRB2
1717,GRB7
