,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
1044,2091.0,APEX1,REF-1,ENSG00000100823
1045,2092.0,APEX1,APE-1,ENSG00000100823
1046,2093.0,APEX2,APEXL2,ENSG00000169188
1047,2094.0,APEX2,APE2,ENSG00000169188
1048,2095.0,APEX2,XTH2,ENSG00000169188
1049,2096.0,APEX2,ZGRF2,ENSG00000169188
1050,2097.0,APH1A,APH-1A,ENSG00000117362
1051,2098.0,APH1A,CGI-78,ENSG00000117362
1052,2099.0,APH1B,PSFL,ENSG00000138613
1053,2100.0,APH1B,APH-1B,ENSG00000138613
1054,2101.0,APH1B,DKFZp564D0372,ENSG00000138613
1055,2102.0,API5,AAC-11,ENSG00000166181
1056,2103.0,API5,API5L1,ENSG00000166181
1057,2104.0,API5,AAC11,ENSG00000166181
1058,2113.0,APLN,apelin,ENSG00000171388
1059,2114.0,APLN,XNPEP2,ENSG00000171388
1060,2115.0,APLNR,FLJ90771,ENSG00000134817
1061,2116.0,APLNR,APJ,ENSG00000134817
1062,2117.0,APLNR,APJR,ENSG00000134817
1063,2118.0,APLP1,APLP,ENSG00000105290
1064,2119.0,APLP2,APPH,ENSG00000084234
1065,2121.0,APOA1,,ENSG00000118137
1066,2123.0,APOA2,,ENSG00000158874
1067,2124.0,APOA4,,ENSG00000110244
1068,2127.0,APOB,,ENSG00000084674
1069,2128.0,APOBEC1,BEDP,ENSG00000111701
1070,2129.0,APOBEC1,CDAR1,ENSG00000111701
1071,2130.0,APOBEC1,APOBEC-1,ENSG00000111701
1072,2131.0,APOBEC1,HEPR,ENSG00000111701
1073,2132.0,APOBEC2,ARCD1,ENSG00000124701
1074,2133.0,APOBEC2,ARP1,ENSG00000124701
1075,2134.0,APOBEC3A,ARP3,ENSG00000128383
1076,2135.0,APOBEC3A,PHRBN,ENSG00000128383
1077,2138.0,APOBEC3B,PHRBNL,ENSG00000179750
1078,2139.0,APOBEC3B,FLJ21201,ENSG00000179750
1079,2141.0,APOBEC3C,APOBEC1L,ENSG00000244509
1080,2142.0,APOBEC3C,PBI,ENSG00000244509
1081,2143.0,APOBEC3C,bK150C2.3,ENSG00000244509
1082,2144.0,APOBEC3C,ARDC2,ENSG00000244509
1083,2145.0,APOBEC3C,ARDC4,ENSG00000244509
1084,2146.0,APOBEC3C,ARP5,ENSG00000244509
1085,2149.0,APOBEC3F,ARP8,ENSG00000128394
1086,2150.0,APOBEC3F,BK150C2.4.MRNA,ENSG00000128394
1087,2151.0,APOBEC3F,KA6,ENSG00000128394
1088,2152.0,APOBEC3G,CEM15,ENSG00000239713
1089,2153.0,APOBEC3G,MDS019,ENSG00000239713
1090,2154.0,APOBEC3G,dJ494G10.1,ENSG00000239713
1091,2155.0,APOBEC3G,FLJ12740,ENSG00000239713
1092,2156.0,APOBEC3G,bK150C2.7,ENSG00000239713
1093,2164.0,APOC1,,ENSG00000130208
1094,2167.0,APOC3,,ENSG00000110245
1095,2170.0,APOD,,ENSG00000189058
1096,2171.0,APOE,,ENSG00000130203
1097,2173.0,APOF,,ENSG00000175336
1098,2174.0,APOH,BG,ENSG00000091583
1099,2175.0,APOL1,,ENSG00000100342
1100,2176.0,APOL2,APOL-II,ENSG00000128335
1101,2177.0,APOL3,CG12-1,ENSG00000128284
